drug_id,disease_id,efficacy
DR9F8510A169,DI68448A045C,0.67
DREBB9210CA9,DI36D2CBD685,0.47
DRE11A061F62,DI36D2CBD685,0.67
DRE11A061F62,DICE5633805A,0.61
DRA208474008,DICE5633805A,0.59
DRA208474008,DI68448A045C,0.84
DRE5194DBE07,DIFACBDB6569,0.57
DRED9C86F96D,DICE5633805A,0.64
DRED9C86F96D,DI6E06E70CA8,0.89
DR7AC5A5DF64,DICE5633805A,0.6
DR7AC5A5DF64,DI68448A045C,0.83
DR9CDF61EBCF,DICE5633805A,0.77
DR9CDF61EBCF,DI6E06E70CA8,0.88
DR17DA3F2B9D,DIFACBDB6569,0.45
DR91A8321A30,DICE5633805A,0.63
DR91A8321A30,DI68448A045C,0.46
DRF3AD08DFD4,DI36D2CBD685,0.88
DR104DB2F232,DICE5633805A,0.78
DR104DB2F232,DI68448A045C,0.58
DR62C6734A3D,DICE5633805A,0.52
DR62C6734A3D,DI68448A045C,0.5
DREC52D54254,DICE5633805A,0.9
DREC52D54254,DI68448A045C,0.56
DRB524F8A2D0,DI36D2CBD685,0.63
DRB524F8A2D0,DICE5633805A,0.84
DRB524F8A2D0,DICAEB496EEA,0.81
DR914CD5BA5C,DICE5633805A,0.56
DR914CD5BA5C,DI68448A045C,0.58
DR3D1B59A8AA,DI9F9E346E1B,0.79
DRCAFFB0A409,DI488D4DAA36,0.61
DR213A65AFD7,DI488D4DAA36,0.63
DRF1A9A602DD,DI36D2CBD685,0.52
DRE57F7F7A9E,DIFACBDB6569,0.59
DR100CA73A3D,DICE5633805A,0.6
DR100CA73A3D,DI6E06E70CA8,0.62
DR04EFB2D3B8,DI36D2CBD685,0.82
DR04EFB2D3B8,DICE5633805A,0.85
DR85C33403C8,DIFACBDB6569,0.54
DRE269454936,DID730796344,0.61
DRE269454936,DI388B8F81C6,0.58
DR7E7AA8F58D,DID730796344,0.84
DR7E7AA8F58D,DI388B8F81C6,0.72
DR0FDF37894E,DICE5633805A,0.82
DR0FDF37894E,DI68448A045C,0.78
DR5EA7C0C131,DICE5633805A,0.69
DR5EA7C0C131,DI6E06E70CA8,0.76
DR5340F69987,DIFACBDB6569,0.57
DR47F36AB439,DIFACBDB6569,0.91
DR33EFC5DBE8,DI488D4DAA36,0.58
DRA58F644B0A,DIFACBDB6569,0.56
DR8934084F3A,DICE5633805A,0.73
DR8934084F3A,DI68448A045C,0.55
DR8AA1FD21CA,DIFACBDB6569,0.82
DR63CFB9662C,DICE5633805A,0.68
DR63CFB9662C,DI6E06E70CA8,0.9
DR97CE0E3668,DID730796344,0.66
DR97CE0E3668,DI388B8F81C6,0.48
DR0186F1765F,DIFACBDB6569,0.85
DR03B4AEE1A4,DI36D2CBD685,0.55
DR8B280549EA,DICE5633805A,0.91
DR8B280549EA,DI68448A045C,0.91
DRB90F060366,DID730796344,0.65
DRB90F060366,DI388B8F81C6,0.88
DR97F8C7CCCF,DIFACBDB6569,0.77
DR113C8F3D10,DI36D2CBD685,0.87
DR4F5C05C045,DI36D2CBD685,0.63
DR2B99E5C3E9,DICE5633805A,0.67
DR2B99E5C3E9,DI68448A045C,0.74
DR9079632EDA,DICE5633805A,0.81
DR9079632EDA,DI68448A045C,0.73
DR09642D4DC8,DI9F9E346E1B,0.62
DRE820ED204F,DICE5633805A,0.81
DRE820ED204F,DI68448A045C,0.84
DR111B630A73,DI36D2CBD685,0.78
DR111B630A73,DICE5633805A,0.59
DR111B630A73,DICAEB496EEA,0.89
DR77D53A757E,DIFACBDB6569,0.92
DRC5689BBD3D,DIFACBDB6569,0.77
DR219D0A622B,DI488D4DAA36,0.56
DR9D99E331E9,DI36D2CBD685,0.67
DR3CAFFF6C78,DI36D2CBD685,0.63
DR4F1243E735,DID730796344,0.71
DR4F1243E735,DI388B8F81C6,0.86
DRF99292487C,DICE5633805A,0.7
DRF99292487C,DI68448A045C,0.72
DR6C34882F5F,DIFACBDB6569,0.49
DR2C9B05AE58,DID730796344,0.78
DR2C9B05AE58,DI388B8F81C6,0.87
DR571B633955,DIFACBDB6569,0.68
DR043F01135B,DI36D2CBD685,0.76
DR8C83E7DDA8,DICE5633805A,0.48
DR8C83E7DDA8,DI68448A045C,0.91
DR4F0DA1807E,DI36D2CBD685,0.8
DR4F0DA1807E,DICE5633805A,0.88
DR4F0DA1807E,DICAEB496EEA,0.74
DRF1960DA84D,DICE5633805A,0.8
DRF1960DA84D,DI68448A045C,0.66
DR10214A50C8,DICE5633805A,0.51
DR10214A50C8,DI68448A045C,0.56
DR201EB87CC9,DICE5633805A,0.91
DR201EB87CC9,DI68448A045C,0.61
DR5B01A7B0E0,DIFACBDB6569,0.45
DRFE55EE37EF,DID730796344,0.85
DRFE55EE37EF,DI388B8F81C6,0.73
DRCD62521F0E,DICE5633805A,0.58
DRCD62521F0E,DI68448A045C,0.83
DRF5F60FA204,DICE5633805A,0.9
DRF5F60FA204,DI68448A045C,0.64
DR9897C529CD,DI488D4DAA36,0.47
DRBCF7199295,DI9F9E346E1B,0.7
DR3562BF05DF,DID730796344,0.69
DR3562BF05DF,DI388B8F81C6,0.9
DRFF561AE967,DI36D2CBD685,0.89
DR4843A037EF,DI36D2CBD685,0.54
DRB06E4AF168,DI36D2CBD685,0.91
DRB06E4AF168,DICE5633805A,0.65
DRB06E4AF168,DICAEB496EEA,0.54
DR8E277B7515,DIFACBDB6569,0.56
DR367B3DEA65,DICE5633805A,0.55
DR367B3DEA65,DI6E06E70CA8,0.82
DR8087AA4CDB,DI9F9E346E1B,0.56
DR8CA1F8CBEB,DI488D4DAA36,0.5
DR0C4908A943,DICE5633805A,0.84
DR0C4908A943,DI6E06E70CA8,0.8
DR1F14E11CB0,DI36D2CBD685,0.54
DR1F14E11CB0,DICE5633805A,0.49
DRCD69A29EFD,DI36D2CBD685,0.63
DRCD69A29EFD,DICE5633805A,0.67
DRCD69A29EFD,DICAEB496EEA,0.68
DRBA34078782,DI9F9E346E1B,0.78
DRD44DE89224,DIFACBDB6569,0.72
DR82871F8E9B,DIFACBDB6569,0.79
DR7251EB0D71,DICE5633805A,0.46
DR7251EB0D71,DI68448A045C,0.58
DR51DD928446,DI488D4DAA36,0.55
DRBB246B046A,DIFACBDB6569,0.63
DR2C022B34F7,DICE5633805A,0.79
DR2C022B34F7,DI68448A045C,0.75
DRC3C44C3BEB,DI36D2CBD685,0.46
DRE60C8C71A8,DICE5633805A,0.66
DRE60C8C71A8,DI68448A045C,0.78
DR74202BCA78,DICE5633805A,0.8
DR74202BCA78,DI68448A045C,0.82
DRE6E1A16A61,DICE5633805A,0.63
DRE6E1A16A61,DI6E06E70CA8,0.68
DR99E22D53BD,DICE5633805A,0.74
DR99E22D53BD,DI68448A045C,0.79
DRBE7D40EFFF,DI9F9E346E1B,0.53
DR944DFFAD13,DICE5633805A,0.91
DR944DFFAD13,DI68448A045C,0.51
DR86A7FF3CDD,DIFACBDB6569,0.7
DRA091C6BFBC,DICE5633805A,0.7
DRA091C6BFBC,DI68448A045C,0.53
DRF6C1DDBE6E,DIFACBDB6569,0.47
DR4F685093AF,DI36D2CBD685,0.66
DR0BA19B2B9B,DI36D2CBD685,0.79
DR0BA19B2B9B,DICE5633805A,0.52
DRC11BA42BD3,DIFACBDB6569,0.83
DRF4950080F4,DI488D4DAA36,0.63
DRC52767095C,DI36D2CBD685,0.49
DRC52767095C,DICE5633805A,0.87
DRC52767095C,DICAEB496EEA,0.75
DR05A8726E12,DI36D2CBD685,0.54
DR05A8726E12,DICE5633805A,0.5
DRC6DD82090C,DICE5633805A,0.45
DRC6DD82090C,DI68448A045C,0.62
DR8821E8D079,DI36D2CBD685,0.74
DR8821E8D079,DICE5633805A,0.48
DRC178B3F6EA,DI36D2CBD685,0.49
DR2A770583EF,DICE5633805A,0.69
DR2A770583EF,DI68448A045C,0.88
DRB787EB92A4,DICE5633805A,0.53
DRB787EB92A4,DI68448A045C,0.68
DR63EFFF3071,DI9F9E346E1B,0.88
DRC41887C689,DI36D2CBD685,0.69
DRC41887C689,DICE5633805A,0.81
DR5D8ED56C1F,DI9F9E346E1B,0.63
DR9455F85050,DIFACBDB6569,0.72
DRE7B2B56E06,DI36D2CBD685,0.77
DRB9009BB8C6,DI488D4DAA36,0.9
DR077D0EB1FC,DIFACBDB6569,0.69
DR33C933AF78,DICE5633805A,0.81
DR33C933AF78,DI6E06E70CA8,0.85
DR57F72CAE7B,DICE5633805A,0.57
DR57F72CAE7B,DI68448A045C,0.79
DR07C105FE09,DICE5633805A,0.47
DR07C105FE09,DI68448A045C,0.47
DR4E21594E7D,DI36D2CBD685,0.67
DR4E21594E7D,DICE5633805A,0.61
DR3F22A90DD2,DI36D2CBD685,0.61
DR768A97459D,DI36D2CBD685,0.88
DR768A97459D,DICE5633805A,0.85
DR6380314436,DICE5633805A,0.47
DR6380314436,DI68448A045C,0.84
