drug_id,name,approval_no,dosage_form,spec,usage,adverse_reaction,contraindication_text,pharmacology_text
DR930A16CB1A,硝苯地平,国药准字H10000011,缓释片,30mg/缓释片,口服，每日1~2次。,踝部水肿；头痛；面部潮红；心悸,CCB过敏；心源性休克,药理分类：CCB  适应症：高血压、冠心病心绞痛。
DRB92F441041,美托洛尔,国药准字H10000012,片,50mg/片,口服，每日1~2次。,乏力；心动过缓；支气管痉挛,二度以上房室传导阻滞；哮喘急性发作；严重心动过缓<50次/分,药理分类：BetaBlocker  适应症：高血压、冠心病、心力衰竭、房颤心室率控制。
DR7C628C24A1,氢氯噻嗪,国药准字H10000013,片,25mg/片,口服，每日1~2次。,低钾；低钠；高尿酸；高血糖,磺胺过敏；无尿,药理分类：ThiazideDiuretic  适应症：高血压、水肿、心力衰竭。
DR643E0306C4,对乙酰氨基酚,国药准字H10000014,片,0.5g/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DR14489B9DD4,布洛芬,国药准字H10000015,胶囊,0.2g/胶囊,口服，每日1~2次。,胃肠道反应；肾损伤；心血管风险,活动性溃疡；NSAID过敏；冠脉搭桥围手术期,药理分类：NSAID  适应症：感冒发热、头痛、痛经、骨关节炎急性发作。
DR7725999CC6,阿托卡托普利普通片,国药准字H20000000,片,396mg/片,口服，每日1~2次。,干咳10%~20%；皮疹；味觉异常；首剂低血压,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭、心肌梗死后。
DR9C30AF2812,酒石酸左氧氟沙星分散片,国药准字H20000001,片,27mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DR4F13530DEF,马来酸二甲双胍肠溶胶囊,国药准字H20000002,片,123mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DR0CDAE45FDC,酒石酸美托洛尔缓释片,国药准字H20000003,片,384mg/片,口服，每日1~2次。,乏力；心动过缓；支气管痉挛,二度以上房室传导阻滞；哮喘急性发作；严重心动过缓<50次/分,药理分类：BetaBlocker  适应症：高血压、冠心病、心力衰竭、房颤心室率控制。
DR41F351A3EE,盐酸卡托普利缓释片,国药准字H20000004,片,123mg/片,口服，每日1~2次。,干咳10%~20%；皮疹；味觉异常；首剂低血压,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭、心肌梗死后。
DR9C0943BF8C,阿托奥美拉唑肠溶胶囊,国药准字H20000005,片,216mg/片,口服，每日1~2次。,头痛；腹泻；长期用低镁/维生素B12缺乏,PPI过敏,药理分类：PPI  适应症：胃溃疡、十二指肠溃疡、胃食管反流、Hp根除。
DREBFC9C8011,替米格列美脲普通片,国药准字H20000006,片,65mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DRA2542A5255,瑞舒卡托普利控释片,国药准字H20000007,片,106mg/片,口服，每日1~2次。,干咳10%~20%；皮疹；味觉异常；首剂低血压,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭、心肌梗死后。
DRA0D06F3F5F,琥珀酸格列美脲胶囊,国药准字H20000008,片,191mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DRC0491A2372,左旋辛伐他汀缓释片,国药准字H20000009,片,375mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
DR057B63154F,瑞舒格列美脲肠溶胶囊,国药准字H20000010,片,344mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DRE8C45574F7,盐酸奥美拉唑普通片,国药准字H20000011,片,434mg/片,口服，每日1~2次。,头痛；腹泻；长期用低镁/维生素B12缺乏,PPI过敏,药理分类：PPI  适应症：胃溃疡、十二指肠溃疡、胃食管反流、Hp根除。
DR8FF67C591F,琥珀酸二甲双胍缓释片,国药准字H20000012,片,109mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DRF6B5285A2A,瑞舒二甲双胍普通片,国药准字H20000013,片,49mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DR74FE1E2628,缬沙美托洛尔胶囊,国药准字H20000014,片,338mg/片,口服，每日1~2次。,乏力；心动过缓；支气管痉挛,二度以上房室传导阻滞；哮喘急性发作；严重心动过缓<50次/分,药理分类：BetaBlocker  适应症：高血压、冠心病、心力衰竭、房颤心室率控制。
DR9501107601,左旋氢氯噻嗪缓释片,国药准字H20000015,片,412mg/片,口服，每日1~2次。,低钾；低钠；高尿酸；高血糖,磺胺过敏；无尿,药理分类：ThiazideDiuretic  适应症：高血压、水肿、心力衰竭。
DRACB3003B3C,琥珀酸左氧氟沙星缓释片,国药准字H20000016,片,174mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DR95D254BFF7,左旋硝苯地平胶囊,国药准字H20000017,片,26mg/片,口服，每日1~2次。,踝部水肿；头痛；面部潮红；心悸,CCB过敏；心源性休克,药理分类：CCB  适应症：高血压、冠心病心绞痛。
DRC9881A21E2,琥珀酸阿司匹林控释片,国药准字H20000018,片,176mg/片,口服，每日1~2次。,胃肠道损伤；出血风险；瑞氏综合征儿童禁用,活动性出血；阿司匹林过敏；严重胃溃疡,药理分类：Antiplatelet  适应症：冠心病、心梗二级预防、房颤栓塞预防。
DR8350FA4208,瑞舒辛伐他汀胶囊,国药准字H20000019,片,336mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
DR80580FA67F,琥珀酸硝苯地平缓释片,国药准字H20000020,片,388mg/片,口服，每日1~2次。,踝部水肿；头痛；面部潮红；心悸,CCB过敏；心源性休克,药理分类：CCB  适应症：高血压、冠心病心绞痛。
DRC92E8503FC,苯磺酸依那普利缓释片,国药准字H20000021,片,291mg/片,口服，每日1~2次。,干咳；高钾血症,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭。
DRCA067513A6,缬沙辛伐他汀分散片,国药准字H20000022,片,156mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
DR5C8DE292AC,酒石酸依那普利缓释片,国药准字H20000023,片,19mg/片,口服，每日1~2次。,干咳；高钾血症,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭。
DR837B2175C4,替米布洛芬控释片,国药准字H20000024,片,361mg/片,口服，每日1~2次。,胃肠道反应；肾损伤；心血管风险,活动性溃疡；NSAID过敏；冠脉搭桥围手术期,药理分类：NSAID  适应症：感冒发热、头痛、痛经、骨关节炎急性发作。
DR67B80B4E18,瑞舒依那普利控释片,国药准字H20000025,片,470mg/片,口服，每日1~2次。,干咳；高钾血症,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭。
DR9F8510A169,左旋阿司匹林普通片,国药准字H20000026,片,237mg/片,口服，每日1~2次。,胃肠道损伤；出血风险；瑞氏综合征儿童禁用,活动性出血；阿司匹林过敏；严重胃溃疡,药理分类：Antiplatelet  适应症：冠心病、心梗二级预防、房颤栓塞预防。
DR13A99E6D0C,盐酸左氧氟沙星肠溶胶囊,国药准字H20000028,片,370mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DREBB9210CA9,苯磺酸依那普利普通片,国药准字H20000029,片,452mg/片,口服，每日1~2次。,干咳；高钾血症,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭。
DRE11A061F62,马来酸硝苯地平缓释片,国药准字H20000030,片,107mg/片,口服，每日1~2次。,踝部水肿；头痛；面部潮红；心悸,CCB过敏；心源性休克,药理分类：CCB  适应症：高血压、冠心病心绞痛。
DRA208474008,酒石酸华法林分散片,国药准字H20000031,片,442mg/片,口服，每日1~2次。,出血（颅内/消化道）；皮肤坏死,活动性出血；先兆流产；严重高血压>180/110,药理分类：Anticoagulant_VKA  适应症：心房颤动、深静脉血栓、机械瓣术后。
DRE5194DBE07,阿托二甲双胍普通片,国药准字H20000032,片,260mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DRED9C86F96D,缬沙辛伐他汀控释片,国药准字H20000033,片,445mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
DR7AC5A5DF64,替米华法林胶囊,国药准字H20000034,片,330mg/片,口服，每日1~2次。,出血（颅内/消化道）；皮肤坏死,活动性出血；先兆流产；严重高血压>180/110,药理分类：Anticoagulant_VKA  适应症：心房颤动、深静脉血栓、机械瓣术后。
DR9CDF61EBCF,盐酸辛伐他汀普通片,国药准字H20000035,片,253mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
DR17DA3F2B9D,替米二甲双胍分散片,国药准字H20000036,片,259mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DR91A8321A30,盐酸对乙酰氨基酚控释片,国药准字H20000037,片,255mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DR51E66EAFE6,阿托氢氯噻嗪控释片,国药准字H20000038,片,126mg/片,口服，每日1~2次。,低钾；低钠；高尿酸；高血糖,磺胺过敏；无尿,药理分类：ThiazideDiuretic  适应症：高血压、水肿、心力衰竭。
DRF3AD08DFD4,马来酸卡托普利胶囊,国药准字H20000039,片,303mg/片,口服，每日1~2次。,干咳10%~20%；皮疹；味觉异常；首剂低血压,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭、心肌梗死后。
DR104DB2F232,阿托阿司匹林缓释片,国药准字H20000040,片,28mg/片,口服，每日1~2次。,胃肠道损伤；出血风险；瑞氏综合征儿童禁用,活动性出血；阿司匹林过敏；严重胃溃疡,药理分类：Antiplatelet  适应症：冠心病、心梗二级预防、房颤栓塞预防。
DR62C6734A3D,替米对乙酰氨基酚普通片,国药准字H20000042,片,477mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DREC52D54254,苯磺酸对乙酰氨基酚分散片,国药准字H20000044,片,99mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DRB524F8A2D0,缬沙美托洛尔肠溶胶囊,国药准字H20000046,片,368mg/片,口服，每日1~2次。,乏力；心动过缓；支气管痉挛,二度以上房室传导阻滞；哮喘急性发作；严重心动过缓<50次/分,药理分类：BetaBlocker  适应症：高血压、冠心病、心力衰竭、房颤心室率控制。
DR914CD5BA5C,缬沙对乙酰氨基酚胶囊,国药准字H20000047,片,121mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DR3D1B59A8AA,左旋奥美拉唑分散片,国药准字H20000048,片,319mg/片,口服，每日1~2次。,头痛；腹泻；长期用低镁/维生素B12缺乏,PPI过敏,药理分类：PPI  适应症：胃溃疡、十二指肠溃疡、胃食管反流、Hp根除。
DRCAFFB0A409,苯磺酸茶碱分散片,国药准字H20000049,片,424mg/片,口服，每日1~2次。,心律失常；恶心呕吐；失眠；惊厥,茶碱中毒史；未控制的心律失常,药理分类：Methylxanthine  适应症：慢性支气管炎、哮喘、COPD。
DR213A65AFD7,琥珀酸茶碱缓释片,国药准字H20000050,片,195mg/片,口服，每日1~2次。,心律失常；恶心呕吐；失眠；惊厥,茶碱中毒史；未控制的心律失常,药理分类：Methylxanthine  适应症：慢性支气管炎、哮喘、COPD。
DRF1A9A602DD,缬沙依那普利控释片,国药准字H20000051,片,386mg/片,口服，每日1~2次。,干咳；高钾血症,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭。
DRE57F7F7A9E,苯磺酸格列美脲分散片,国药准字H20000052,片,199mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR100CA73A3D,酒石酸辛伐他汀普通片,国药准字H20000053,片,441mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
DR04EFB2D3B8,马来酸硝苯地平分散片,国药准字H20000054,片,222mg/片,口服，每日1~2次。,踝部水肿；头痛；面部潮红；心悸,CCB过敏；心源性休克,药理分类：CCB  适应症：高血压、冠心病心绞痛。
DR85C33403C8,酒石酸格列美脲缓释片,国药准字H20000055,片,199mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DRE269454936,苯磺酸布洛芬缓释片,国药准字H20000056,片,222mg/片,口服，每日1~2次。,胃肠道反应；肾损伤；心血管风险,活动性溃疡；NSAID过敏；冠脉搭桥围手术期,药理分类：NSAID  适应症：感冒发热、头痛、痛经、骨关节炎急性发作。
DR7E7AA8F58D,苯磺酸布洛芬肠溶胶囊,国药准字H20000057,片,305mg/片,口服，每日1~2次。,胃肠道反应；肾损伤；心血管风险,活动性溃疡；NSAID过敏；冠脉搭桥围手术期,药理分类：NSAID  适应症：感冒发热、头痛、痛经、骨关节炎急性发作。
DR0FDF37894E,盐酸对乙酰氨基酚普通片,国药准字H20000059,片,246mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DR5EA7C0C131,苯磺酸辛伐他汀控释片,国药准字H20000060,片,279mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
DR5340F69987,瑞舒格列美脲分散片,国药准字H20000061,片,191mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR47F36AB439,瑞舒格列美脲普通片,国药准字H20000062,片,423mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR33EFC5DBE8,瑞舒茶碱分散片,国药准字H20000063,片,106mg/片,口服，每日1~2次。,心律失常；恶心呕吐；失眠；惊厥,茶碱中毒史；未控制的心律失常,药理分类：Methylxanthine  适应症：慢性支气管炎、哮喘、COPD。
DRA58F644B0A,左旋格列美脲控释片,国药准字H20000064,片,181mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR8934084F3A,琥珀酸阿司匹林普通片,国药准字H20000065,片,399mg/片,口服，每日1~2次。,胃肠道损伤；出血风险；瑞氏综合征儿童禁用,活动性出血；阿司匹林过敏；严重胃溃疡,药理分类：Antiplatelet  适应症：冠心病、心梗二级预防、房颤栓塞预防。
DR8AA1FD21CA,马来酸格列美脲缓释片,国药准字H20000066,片,458mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR63CFB9662C,阿托辛伐他汀胶囊,国药准字H20000067,片,236mg/片,口服，每日1~2次。,肌肉痛；肝酶升高；横纹肌溶解(罕见),活动性肝病；妊娠；CYP3A4强抑制剂合用,药理分类：Statin  适应症：高脂血症、冠心病一级二级预防。
DR97CE0E3668,苯磺酸布洛芬分散片,国药准字H20000068,片,97mg/片,口服，每日1~2次。,胃肠道反应；肾损伤；心血管风险,活动性溃疡；NSAID过敏；冠脉搭桥围手术期,药理分类：NSAID  适应症：感冒发热、头痛、痛经、骨关节炎急性发作。
DR071A52244E,盐酸左氧氟沙星普通片,国药准字H20000069,片,252mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DR0186F1765F,苯磺酸二甲双胍胶囊,国药准字H20000070,片,430mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DR03B4AEE1A4,盐酸卡托普利控释片,国药准字H20000071,片,199mg/片,口服，每日1~2次。,干咳10%~20%；皮疹；味觉异常；首剂低血压,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭、心肌梗死后。
DR8B280549EA,苯磺酸阿司匹林控释片,国药准字H20000072,片,460mg/片,口服，每日1~2次。,胃肠道损伤；出血风险；瑞氏综合征儿童禁用,活动性出血；阿司匹林过敏；严重胃溃疡,药理分类：Antiplatelet  适应症：冠心病、心梗二级预防、房颤栓塞预防。
DRB90F060366,左旋布洛芬肠溶胶囊,国药准字H20000073,片,162mg/片,口服，每日1~2次。,胃肠道反应；肾损伤；心血管风险,活动性溃疡；NSAID过敏；冠脉搭桥围手术期,药理分类：NSAID  适应症：感冒发热、头痛、痛经、骨关节炎急性发作。
DRA38D9A4890,左旋左氧氟沙星缓释片,国药准字H20000074,片,314mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DR97F8C7CCCF,缬沙二甲双胍控释片,国药准字H20000075,片,440mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DR113C8F3D10,替米依那普利分散片,国药准字H20000076,片,101mg/片,口服，每日1~2次。,干咳；高钾血症,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭。
DR4F5C05C045,琥珀酸卡托普利肠溶胶囊,国药准字H20000077,片,257mg/片,口服，每日1~2次。,干咳10%~20%；皮疹；味觉异常；首剂低血压,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭、心肌梗死后。
DR2B99E5C3E9,阿托阿司匹林肠溶胶囊,国药准字H20000078,片,486mg/片,口服，每日1~2次。,胃肠道损伤；出血风险；瑞氏综合征儿童禁用,活动性出血；阿司匹林过敏；严重胃溃疡,药理分类：Antiplatelet  适应症：冠心病、心梗二级预防、房颤栓塞预防。
DR9079632EDA,苯磺酸对乙酰氨基酚控释片,国药准字H20000079,片,410mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DRF333F026CA,瑞舒左氧氟沙星分散片,国药准字H20000080,片,114mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DR09642D4DC8,左旋奥美拉唑胶囊,国药准字H20000081,片,29mg/片,口服，每日1~2次。,头痛；腹泻；长期用低镁/维生素B12缺乏,PPI过敏,药理分类：PPI  适应症：胃溃疡、十二指肠溃疡、胃食管反流、Hp根除。
DRE820ED204F,替米对乙酰氨基酚缓释片,国药准字H20000082,片,496mg/片,口服，每日1~2次。,肝损伤(过量>4g/日)；皮疹(罕见),严重肝肾功能不全；对本品过敏,药理分类：Antipyretic_Analgesic  适应症：感冒发热、轻中度疼痛、骨关节炎。
DR111B630A73,左旋美托洛尔普通片,国药准字H20000083,片,439mg/片,口服，每日1~2次。,乏力；心动过缓；支气管痉挛,二度以上房室传导阻滞；哮喘急性发作；严重心动过缓<50次/分,药理分类：BetaBlocker  适应症：高血压、冠心病、心力衰竭、房颤心室率控制。
DR096E6A8838,琥珀酸左氧氟沙星控释片,国药准字H20000084,片,60mg/片,口服，每日1~2次。,肌腱炎/断裂；QT间期延长；中枢兴奋；光毒性,喹诺酮过敏；18岁以下；妊娠哺乳,药理分类：Quinolone  适应症：呼吸道感染、泌尿系统感染、胃肠道感染。
DR3BB29BF2EE,缬沙氢氯噻嗪普通片,国药准字H20000085,片,172mg/片,口服，每日1~2次。,低钾；低钠；高尿酸；高血糖,磺胺过敏；无尿,药理分类：ThiazideDiuretic  适应症：高血压、水肿、心力衰竭。
DR77D53A757E,阿托格列美脲胶囊,国药准字H20000086,片,77mg/片,口服，每日1~2次。,低血糖；体重增加,磺脲类过敏；1型糖尿病；酮症酸中毒,药理分类：Sulfonylurea  适应症：2型糖尿病。
DR039DE4F770,盐酸氢氯噻嗪控释片,国药准字H20000087,片,165mg/片,口服，每日1~2次。,低钾；低钠；高尿酸；高血糖,磺胺过敏；无尿,药理分类：ThiazideDiuretic  适应症：高血压、水肿、心力衰竭。
DR81FA3DBB43,盐酸氢氯噻嗪胶囊,国药准字H20000088,片,120mg/片,口服，每日1~2次。,低钾；低钠；高尿酸；高血糖,磺胺过敏；无尿,药理分类：ThiazideDiuretic  适应症：高血压、水肿、心力衰竭。
DRC5689BBD3D,马来酸二甲双胍普通片,国药准字H20000090,片,257mg/片,口服，每日1~2次。,胃肠道反应；维生素B12缺乏,严重肾功不全；乳酸酸中毒史；造影前后48h,药理分类：Biguanide  适应症：2型糖尿病。
DR2CAE58409C,阿托氢氯噻嗪胶囊,国药准字H20000091,片,144mg/片,口服，每日1~2次。,低钾；低钠；高尿酸；高血糖,磺胺过敏；无尿,药理分类：ThiazideDiuretic  适应症：高血压、水肿、心力衰竭。
DR219D0A622B,阿托茶碱分散片,国药准字H20000092,片,356mg/片,口服，每日1~2次。,心律失常；恶心呕吐；失眠；惊厥,茶碱中毒史；未控制的心律失常,药理分类：Methylxanthine  适应症：慢性支气管炎、哮喘、COPD。
DR9D99E331E9,琥珀酸卡托普利缓释片,国药准字H20000093,片,91mg/片,口服，每日1~2次。,干咳10%~20%；皮疹；味觉异常；首剂低血压,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭、心肌梗死后。
DR3CAFFF6C78,阿托依那普利控释片,国药准字H20000094,片,34mg/片,口服，每日1~2次。,干咳；高钾血症,ACEI过敏；双侧肾动脉狭窄；妊娠,药理分类：ACEI  适应症：高血压、心力衰竭。
DR4F1243E735,替米布洛芬胶囊,国药准字H20000095,片,470mg/片,口服，每日1~2次。,胃肠道反应；肾损伤；心血管风险,活动性溃疡；NSAID过敏；冠脉搭桥围手术期,药理分类：NSAID  适应症：感冒发热、头痛、痛经、骨关节炎急性发作。
